date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:40	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22663a99be-239b%22	https://prium.github.io/robots.txt		(from )
13:48:40	57991/57991	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-e287%22	https://prium.github.io/elixir/v3.0.0/	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/index.html	(from )
13:48:40	2395/2395	---M--	200	added ('OK')	image/png	etag:%2261c846e9-95b%22	https://prium.github.io/elixir/v3.0.0/assets/img/favicons/apple-touch-icon.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/favicons/apple-touch-icon.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:41	726/726	---M--	200	added ('OK')	image/png	etag:%2261c846e9-2d6%22	https://prium.github.io/elixir/v3.0.0/assets/img/favicons/favicon-32x32.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/favicons/favicon-32x32.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:41	560/560	---M--	200	added ('OK')	image/png	etag:%2261c846e9-230%22	https://prium.github.io/elixir/v3.0.0/assets/img/favicons/favicon-16x16.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/favicons/favicon-16x16.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:41	15086/15086	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2261c846e9-3aee%22	https://prium.github.io/elixir/v3.0.0/assets/img/favicons/favicon.ico	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/favicons/favicon.ico	(from https://prium.github.io/elixir/v3.0.0/)
13:48:41	403/403	---M-Z	200	added ('OK')	application/json	etag:W/%2261c846e9-193%22	https://prium.github.io/elixir/v3.0.0/assets/img/favicons/manifest.json	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/favicons/manifest.json	(from https://prium.github.io/elixir/v3.0.0/)
13:48:42	1857/1857	---M--	200	added ('OK')	image/png	etag:%2261c846e9-741%22	https://prium.github.io/elixir/v3.0.0/assets/img/favicons/mstile-150x150.png	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/assets/img/favicons/mstile-150x150.png	(from https://prium.github.io/elixir/v3.0.0/)
13:48:42	53768/53768	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261c846e9-d208%22	https://prium.github.io/elixir/v3.0.0/vendors/overlayscrollbars/OverlayScrollbars.min.js	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/vendors/overlayscrollbars/OverlayScrollbars.min.js	(from https://prium.github.io/elixir/v3.0.0/)
13:48:42	15563/15563	---M-Z	200	added ('OK')	text/css	etag:W/%2261c846e9-3ccb%22	https://prium.github.io/elixir/v3.0.0/vendors/swiper/swiper-bundle.min.css	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/vendors/swiper/swiper-bundle.min.css	(from https://prium.github.io/elixir/v3.0.0/)
